year;state;month;number
2013;Bahia;Novembro;248
2014;Bahia;Novembro;308
2015;Bahia;Novembro;1.569
2016;Bahia;Novembro;402
2017;Bahia;Novembro;222
2018;Bahia;Novembro;169
2019;Bahia;Novembro;924
2020;Bahia;Novembro;447
2021;Bahia;Novembro;135
2022;Bahia;Novembro;119
2012;Bahia;Dezembro;529
2013;Bahia;Dezembro;107
2014;Bahia;Dezembro;126
2015;Bahia;Dezembro;1.202
2016;Bahia;Dezembro;163
2017;Bahia;Dezembro;66
2018;Bahia;Dezembro;119
2019;Bahia;Dezembro;301
2020;Bahia;Dezembro;257
2021;Bahia;Dezembro;61
2022;Bahia;Dezembro;124
2012;Ceará;Janeiro;308
2013;Ceará;Janeiro;135
2014;Ceará;Janeiro;119
2015;Ceará;Janeiro;189
2016;Ceará;Janeiro;103
2017;Ceará;Janeiro;91
2018;Ceará;Janeiro;166
2019;Ceará;Janeiro;194
2020;Ceará;Janeiro;94
2021;Ceará;Janeiro;187
2022;Ceará;Janeiro;37
2012;Ceará;Fevereiro;44
2013;Ceará;Fevereiro;55
2014;Ceará;Fevereiro;9
2015;Ceará;Fevereiro;20
2016;Ceará;Fevereiro;12
2017;Ceará;Fevereiro;10
2018;Ceará;Fevereiro;6
2019;Ceará;Fevereiro;12
2020;Ceará;Fevereiro;8
2021;Ceará;Fevereiro;64
2022;Ceará;Fevereiro;21
2012;Ceará;Março;13
2013;Ceará;Março;24
2014;Ceará;Março;4
2015;Ceará;Março;14
2016;Ceará;Março;6
2017;Ceará;Março;4
2018;Ceará;Março;8
2019;Ceará;Março;3
2020;Ceará;Março;2
2021;Ceará;Março;13
2022;Ceará;Março;8
2012;Ceará;Abril;2
2013;Ceará;Abril;7
2014;Ceará;Abril;3
2015;Ceará;Abril;0
2016;Ceará;Abril;11
2017;Ceará;Abril;3
2018;Ceará;Abril;1
2019;Ceará;Abril;1
2020;Ceará;Abril;0
2021;Ceará;Abril;6
2022;Ceará;Abril;1
2012;Ceará;Maio;23
2013;Ceará;Maio;9
2014;Ceará;Maio;4
2015;Ceará;Maio;17
2016;Ceará;Maio;7
2017;Ceará;Maio;6
2018;Ceará;Maio;2
2019;Ceará;Maio;3
2020;Ceará;Maio;3
2021;Ceará;Maio;13
2022;Ceará;Maio;3
2012;Ceará;Junho;33
2013;Ceará;Junho;12
2014;Ceará;Junho;15
2015;Ceará;Junho;17
2016;Ceará;Junho;32
2017;Ceará;Junho;6
2018;Ceará;Junho;17
2019;Ceará;Junho;9
2020;Ceará;Junho;12
2021;Ceará;Junho;25
2022;Ceará;Junho;15
2012;Ceará;Julho;50
2013;Ceará;Julho;8
2014;Ceará;Julho;39
2015;Ceará;Julho;23
2016;Ceará;Julho;106
2017;Ceará;Julho;15
2018;Ceará;Julho;29
2019;Ceará;Julho;18
2020;Ceará;Julho;63
2021;Ceará;Julho;35
2022;Ceará;Julho;37
2012;Ceará;Agosto;267
2013;Ceará;Agosto;36
2014;Ceará;Agosto;133
2015;Ceará;Agosto;118
2016;Ceará;Agosto;286
2017;Ceará;Agosto;98
2018;Ceará;Agosto;202
2019;Ceará;Agosto;138
2020;Ceará;Agosto;209
2021;Ceará;Agosto;258
2022;Ceará;Agosto;140
2012;Ceará;Setembro;512
2013;Ceará;Setembro;177
2014;Ceará;Setembro;136
2015;Ceará;Setembro;183
2016;Ceará;Setembro;335
2017;Ceará;Setembro;336
2018;Ceará;Setembro;429
2019;Ceará;Setembro;460
2020;Ceará;Setembro;440
2021;Ceará;Setembro;411
2022;Ceará;Setembro;209
2012;Ceará;Outubro;1.102
2013;Ceará;Outubro;472
2014;Ceará;Outubro;444
2015;Ceará;Outubro;603
2016;Ceará;Outubro;1.241
2017;Ceará;Outubro;793
2018;Ceará;Outubro;591
2019;Ceará;Outubro;1.373
2020;Ceará;Outubro;913
2021;Ceará;Outubro;905
2022;Ceará;Outubro;793
2012;Ceará;Novembro;1.165
2013;Ceará;Novembro;986
2014;Ceará;Novembro;761
2015;Ceará;Novembro;1.009
2016;Ceará;Novembro;1.373
2017;Ceará;Novembro;953
2018;Ceará;Novembro;860
2019;Ceará;Novembro;1.324
2020;Ceará;Novembro;1.279
2021;Ceará;Novembro;1680
2022;Ceará;Novembro;1.427
2012;Ceará;Dezembro;789
2013;Ceará;Dezembro;910
2014;Ceará;Dezembro;660
2015;Ceará;Dezembro;965
2016;Ceará;Dezembro;804
2017;Ceará;Dezembro;1.171
2018;Ceará;Dezembro;723
2019;Ceará;Dezembro;769
2020;Ceará;Dezembro;956
2021;Ceará;Dezembro;782
2022;Ceará;Dezembro;1.445
2012;Distrito Federal;Janeiro;0
2013;Distrito Federal;Janeiro;0
2014;Distrito Federal;Janeiro;0
2015;Distrito Federal;Janeiro;1
2016;Distrito Federal;Janeiro;0
2017;Distrito Federal;Janeiro;1
2018;Distrito Federal;Janeiro;0
2019;Distrito Federal;Janeiro;4
2020;Distrito Federal;Janeiro;2
2021;Distrito Federal;Janeiro;0
2022;Distrito Federal;Janeiro;0
2012;Distrito Federal;Fevereiro;0
2013;Distrito Federal;Fevereiro;1
2014;Distrito Federal;Fevereiro;1
2015;Distrito Federal;Fevereiro;0
2016;Distrito Federal;Fevereiro;1
2017;Distrito Federal;Fevereiro;0
2018;Distrito Federal;Fevereiro;0
2019;Distrito Federal;Fevereiro;1
2020;Distrito Federal;Fevereiro;2
2021;Distrito Federal;Fevereiro;0
2022;Distrito Federal;Fevereiro;0
2012;Distrito Federal;Março;0
2013;Distrito Federal;Março;1
2014;Distrito Federal;Março;1
2015;Distrito Federal;Março;0
2016;Distrito Federal;Março;1
2017;Distrito Federal;Março;0
2018;Distrito Federal;Março;0
2019;Distrito Federal;Março;0
2020;Distrito Federal;Março;0
2021;Distrito Federal;Março;0
2022;Distrito Federal;Março;6
2012;Distrito Federal;Abril;4
2013;Distrito Federal;Abril;0
2014;Distrito Federal;Abril;2
2015;Distrito Federal;Abril;0
2016;Distrito Federal;Abril;4
2017;Distrito Federal;Abril;1
2018;Distrito Federal;Abril;0
2019;Distrito Federal;Abril;0
2020;Distrito Federal;Abril;5
2021;Distrito Federal;Abril;4
2022;Distrito Federal;Abril;4
2012;Distrito Federal;Maio;0
2013;Distrito Federal;Maio;2
2014;Distrito Federal;Maio;9
2015;Distrito Federal;Maio;2
2016;Distrito Federal;Maio;13
2017;Distrito Federal;Maio;6
2018;Distrito Federal;Maio;2
2019;Distrito Federal;Maio;0
2020;Distrito Federal;Maio;5
2021;Distrito Federal;Maio;9
2022;Distrito Federal;Maio;14
2012;Distrito Federal;Junho;4
2013;Distrito Federal;Junho;5
2014;Distrito Federal;Junho;6
2015;Distrito Federal;Junho;1
2016;Distrito Federal;Junho;37
2017;Distrito Federal;Junho;5
2018;Distrito Federal;Junho;1
2019;Distrito Federal;Junho;6
2020;Distrito Federal;Junho;11
2021;Distrito Federal;Junho;10
2022;Distrito Federal;Junho;17
2012;Distrito Federal;Julho;27
2013;Distrito Federal;Julho;25
2014;Distrito Federal;Julho;28
2015;Distrito Federal;Julho;15
2016;Distrito Federal;Julho;78
2017;Distrito Federal;Julho;28
2018;Distrito Federal;Julho;29
2019;Distrito Federal;Julho;30
2020;Distrito Federal;Julho;25
2021;Distrito Federal;Julho;38
2022;Distrito Federal;Julho;60
2012;Distrito Federal;Agosto;51
2013;Distrito Federal;Agosto;33
2014;Distrito Federal;Agosto;96
2015;Distrito Federal;Agosto;53
2016;Distrito Federal;Agosto;35
2017;Distrito Federal;Agosto;118
2018;Distrito Federal;Agosto;15
2019;Distrito Federal;Agosto;29
2020;Distrito Federal;Agosto;22
2021;Distrito Federal;Agosto;50
2022;Distrito Federal;Agosto;55
2012;Distrito Federal;Setembro;67
2013;Distrito Federal;Setembro;33
2014;Distrito Federal;Setembro;67
2015;Distrito Federal;Setembro;64
2016;Distrito Federal;Setembro;51
2017;Distrito Federal;Setembro;77
2018;Distrito Federal;Setembro;41
2019;Distrito Federal;Setembro;116
2020;Distrito Federal;Setembro;83
2021;Distrito Federal;Setembro;141
2022;Distrito Federal;Setembro;85
2012;Distrito Federal;Outubro;16
2013;Distrito Federal;Outubro;3
2014;Distrito Federal;Outubro;31
2015;Distrito Federal;Outubro;17
2016;Distrito Federal;Outubro;8
2017;Distrito Federal;Outubro;51
2018;Distrito Federal;Outubro;0
